Date,Spokane St. Bridge Total,West,East
01/01/2014 12:00:00 AM,0,0,0
01/01/2014 01:00:00 AM,3,3,0
01/01/2014 02:00:00 AM,6,5,1
01/01/2014 03:00:00 AM,7,6,1
01/01/2014 04:00:00 AM,0,0,0
01/01/2014 05:00:00 AM,6,5,1
01/01/2014 06:00:00 AM,1,1,0
01/01/2014 07:00:00 AM,2,0,2
01/01/2014 08:00:00 AM,7,1,6
01/01/2014 09:00:00 AM,6,2,4
01/01/2014 10:00:00 AM,17,6,11
01/01/2014 11:00:00 AM,35,18,17
01/01/2014 12:00:00 PM,28,12,16
01/01/2014 01:00:00 PM,24,12,12
01/01/2014 02:00:00 PM,40,18,22
01/01/2014 03:00:00 PM,29,15,14
01/01/2014 04:00:00 PM,20,9,11
01/01/2014 05:00:00 PM,10,5,5
01/01/2014 06:00:00 PM,1,1,0
01/01/2014 07:00:00 PM,1,0,1
01/01/2014 08:00:00 PM,0,0,0
01/01/2014 09:00:00 PM,0,0,0
01/01/2014 10:00:00 PM,3,2,1
01/01/2014 11:00:00 PM,0,0,0
01/02/2014 12:00:00 AM,1,1,0
01/02/2014 01:00:00 AM,2,1,1
01/02/2014 02:00:00 AM,0,0,0
01/02/2014 03:00:00 AM,1,0,1
01/02/2014 04:00:00 AM,2,0,2
01/02/2014 05:00:00 AM,10,1,9
01/02/2014 06:00:00 AM,37,8,29
01/02/2014 07:00:00 AM,59,10,49
01/02/2014 08:00:00 AM,76,9,67
01/02/2014 09:00:00 AM,30,2,28
01/02/2014 10:00:00 AM,5,0,5
01/02/2014 11:00:00 AM,11,4,7
01/02/2014 12:00:00 PM,13,1,12
01/02/2014 01:00:00 PM,19,9,10
01/02/2014 02:00:00 PM,16,10,6
01/02/2014 03:00:00 PM,23,20,3
01/02/2014 04:00:00 PM,38,27,11
01/02/2014 05:00:00 PM,76,64,12
01/02/2014 06:00:00 PM,41,38,3
01/02/2014 07:00:00 PM,24,21,3
01/02/2014 08:00:00 PM,3,2,1
01/02/2014 09:00:00 PM,3,2,1
01/02/2014 10:00:00 PM,3,2,1
01/02/2014 11:00:00 PM,3,1,2
01/03/2014 12:00:00 AM,8,0,8
01/03/2014 01:00:00 AM,1,1,0
01/03/2014 02:00:00 AM,0,0,0
01/03/2014 03:00:00 AM,0,0,0
01/03/2014 04:00:00 AM,2,0,2
01/03/2014 05:00:00 AM,15,3,12
01/03/2014 06:00:00 AM,34,3,31
01/03/2014 07:00:00 AM,48,9,39
01/03/2014 08:00:00 AM,69,8,61
01/03/2014 09:00:00 AM,32,4,28
01/03/2014 10:00:00 AM,11,4,7
01/03/2014 11:00:00 AM,8,3,5
01/03/2014 12:00:00 PM,16,7,9
01/03/2014 01:00:00 PM,23,11,12
01/03/2014 02:00:00 PM,28,11,17
01/03/2014 03:00:00 PM,37,22,15
01/03/2014 04:00:00 PM,51,40,11
01/03/2014 05:00:00 PM,67,58,9
01/03/2014 06:00:00 PM,27,26,1
01/03/2014 07:00:00 PM,11,9,2
01/03/2014 08:00:00 PM,8,8,0
01/03/2014 09:00:00 PM,3,3,0
01/03/2014 10:00:00 PM,9,7,2
01/03/2014 11:00:00 PM,2,1,1
01/04/2014 12:00:00 AM,0,0,0
01/04/2014 01:00:00 AM,1,1,0
01/04/2014 02:00:00 AM,4,2,2
01/04/2014 03:00:00 AM,0,0,0
01/04/2014 04:00:00 AM,1,1,0
01/04/2014 05:00:00 AM,6,0,6
01/04/2014 06:00:00 AM,5,1,4
01/04/2014 07:00:00 AM,2,0,2
01/04/2014 08:00:00 AM,13,2,11
01/04/2014 09:00:00 AM,14,5,9
01/04/2014 10:00:00 AM,37,28,9
01/04/2014 11:00:00 AM,43,29,14
01/04/2014 12:00:00 PM,45,18,27
01/04/2014 01:00:00 PM,85,23,62
01/04/2014 02:00:00 PM,51,22,29
01/04/2014 03:00:00 PM,46,33,13
01/04/2014 04:00:00 PM,32,10,22
01/04/2014 05:00:00 PM,15,9,6
01/04/2014 06:00:00 PM,5,2,3
01/04/2014 07:00:00 PM,4,0,4
01/04/2014 08:00:00 PM,1,1,0
01/04/2014 09:00:00 PM,5,1,4
01/04/2014 10:00:00 PM,3,2,1
01/04/2014 11:00:00 PM,2,0,2
01/05/2014 12:00:00 AM,1,1,0
01/05/2014 01:00:00 AM,0,0,0
01/05/2014 02:00:00 AM,1,1,0
01/05/2014 03:00:00 AM,1,1,0
01/05/2014 04:00:00 AM,0,0,0
01/05/2014 05:00:00 AM,3,1,2
01/05/2014 06:00:00 AM,1,1,0
01/05/2014 07:00:00 AM,5,4,1
01/05/2014 08:00:00 AM,5,0,5
01/05/2014 09:00:00 AM,7,3,4
01/05/2014 10:00:00 AM,23,10,13
01/05/2014 11:00:00 AM,28,8,20
01/05/2014 12:00:00 PM,33,20,13
01/05/2014 01:00:00 PM,50,28,22
01/05/2014 02:00:00 PM,50,26,24
01/05/2014 03:00:00 PM,41,19,22
01/05/2014 04:00:00 PM,22,11,11
01/05/2014 05:00:00 PM,7,2,5
01/05/2014 06:00:00 PM,4,3,1
01/05/2014 07:00:00 PM,5,4,1
01/05/2014 08:00:00 PM,1,1,0
01/05/2014 09:00:00 PM,0,0,0
01/05/2014 10:00:00 PM,1,0,1
01/05/2014 11:00:00 PM,0,0,0
01/06/2014 12:00:00 AM,0,0,0
01/06/2014 01:00:00 AM,1,1,0
01/06/2014 02:00:00 AM,0,0,0
01/06/2014 03:00:00 AM,3,3,0
01/06/2014 04:00:00 AM,4,1,3
01/06/2014 05:00:00 AM,18,5,13
01/06/2014 06:00:00 AM,54,7,47
01/06/2014 07:00:00 AM,72,13,59
01/06/2014 08:00:00 AM,67,3,64
01/06/2014 09:00:00 AM,32,4,28
01/06/2014 10:00:00 AM,15,2,13
01/06/2014 11:00:00 AM,12,6,6
01/06/2014 12:00:00 PM,3,0,3
01/06/2014 01:00:00 PM,12,2,10
01/06/2014 02:00:00 PM,17,11,6
01/06/2014 03:00:00 PM,32,23,9
01/06/2014 04:00:00 PM,60,42,18
01/06/2014 05:00:00 PM,95,78,17
01/06/2014 06:00:00 PM,57,50,7
01/06/2014 07:00:00 PM,12,11,1
01/06/2014 08:00:00 PM,10,8,2
01/06/2014 09:00:00 PM,4,4,0
01/06/2014 10:00:00 PM,2,2,0
01/06/2014 11:00:00 PM,1,1,0
01/07/2014 12:00:00 AM,2,2,0
01/07/2014 01:00:00 AM,0,0,0
01/07/2014 02:00:00 AM,1,1,0
01/07/2014 03:00:00 AM,0,0,0
01/07/2014 04:00:00 AM,3,0,3
01/07/2014 05:00:00 AM,18,3,15
01/07/2014 06:00:00 AM,47,10,37
01/07/2014 07:00:00 AM,71,12,59
01/07/2014 08:00:00 AM,83,4,79
01/07/2014 09:00:00 AM,28,4,24
01/07/2014 10:00:00 AM,14,0,14
01/07/2014 11:00:00 AM,7,5,2
01/07/2014 12:00:00 PM,7,3,4
01/07/2014 01:00:00 PM,11,5,6
01/07/2014 02:00:00 PM,9,7,2
01/07/2014 03:00:00 PM,24,16,8
01/07/2014 04:00:00 PM,49,31,18
01/07/2014 05:00:00 PM,82,70,12
01/07/2014 06:00:00 PM,52,46,6
01/07/2014 07:00:00 PM,15,14,1
01/07/2014 08:00:00 PM,14,13,1
01/07/2014 09:00:00 PM,2,2,0
01/07/2014 10:00:00 PM,0,0,0
01/07/2014 11:00:00 PM,2,2,0
01/08/2014 12:00:00 AM,2,2,0
01/08/2014 01:00:00 AM,0,0,0
01/08/2014 02:00:00 AM,1,1,0
01/08/2014 03:00:00 AM,0,0,0
01/08/2014 04:00:00 AM,3,0,3
01/08/2014 05:00:00 AM,16,3,13
01/08/2014 06:00:00 AM,47,9,38
01/08/2014 07:00:00 AM,60,11,49
01/08/2014 08:00:00 AM,86,7,79
01/08/2014 09:00:00 AM,29,3,26
01/08/2014 10:00:00 AM,13,3,10
01/08/2014 11:00:00 AM,5,1,4
01/08/2014 12:00:00 PM,9,5,4
01/08/2014 01:00:00 PM,16,6,10
01/08/2014 02:00:00 PM,11,6,5
01/08/2014 03:00:00 PM,20,19,1
01/08/2014 04:00:00 PM,57,44,13
01/08/2014 05:00:00 PM,62,52,10
01/08/2014 06:00:00 PM,43,37,6
01/08/2014 07:00:00 PM,16,13,3
01/08/2014 08:00:00 PM,8,8,0
01/08/2014 09:00:00 PM,6,5,1
01/08/2014 10:00:00 PM,6,5,1
01/08/2014 11:00:00 PM,5,4,1
01/09/2014 12:00:00 AM,2,2,0
01/09/2014 01:00:00 AM,0,0,0
01/09/2014 02:00:00 AM,1,0,1
01/09/2014 03:00:00 AM,0,0,0
01/09/2014 04:00:00 AM,4,1,3
01/09/2014 05:00:00 AM,17,3,14
01/09/2014 06:00:00 AM,42,10,32
01/09/2014 07:00:00 AM,72,9,63
01/09/2014 08:00:00 AM,63,3,60
01/09/2014 09:00:00 AM,42,0,42
01/09/2014 10:00:00 AM,13,1,12
01/09/2014 11:00:00 AM,9,2,7
01/09/2014 12:00:00 PM,12,6,6
01/09/2014 01:00:00 PM,12,6,6
01/09/2014 02:00:00 PM,13,10,3
01/09/2014 03:00:00 PM,21,16,5
01/09/2014 04:00:00 PM,41,28,13
01/09/2014 05:00:00 PM,84,71,13
01/09/2014 06:00:00 PM,51,48,3
01/09/2014 07:00:00 PM,19,13,6
01/09/2014 08:00:00 PM,12,12,0
01/09/2014 09:00:00 PM,8,6,2
01/09/2014 10:00:00 PM,2,1,1
01/09/2014 11:00:00 PM,3,1,2
01/10/2014 12:00:00 AM,2,2,0
01/10/2014 01:00:00 AM,1,1,0
01/10/2014 02:00:00 AM,1,1,0
01/10/2014 03:00:00 AM,3,3,0
01/10/2014 04:00:00 AM,3,1,2
01/10/2014 05:00:00 AM,11,3,8
01/10/2014 06:00:00 AM,30,6,24
01/10/2014 07:00:00 AM,64,13,51
01/10/2014 08:00:00 AM,51,3,48
01/10/2014 09:00:00 AM,30,7,23
01/10/2014 10:00:00 AM,11,0,11
01/10/2014 11:00:00 AM,5,1,4
01/10/2014 12:00:00 PM,8,3,5
01/10/2014 01:00:00 PM,6,4,2
01/10/2014 02:00:00 PM,10,6,4
01/10/2014 03:00:00 PM,25,21,4
01/10/2014 04:00:00 PM,30,20,10
01/10/2014 05:00:00 PM,60,50,10
01/10/2014 06:00:00 PM,39,32,7
01/10/2014 07:00:00 PM,12,11,1
01/10/2014 08:00:00 PM,2,2,0
01/10/2014 09:00:00 PM,1,1,0
01/10/2014 10:00:00 PM,4,4,0
01/10/2014 11:00:00 PM,3,2,1
01/11/2014 12:00:00 AM,0,0,0
01/11/2014 01:00:00 AM,1,1,0
01/11/2014 02:00:00 AM,1,1,0
01/11/2014 03:00:00 AM,3,2,1
01/11/2014 04:00:00 AM,0,0,0
01/11/2014 05:00:00 AM,1,0,1
01/11/2014 06:00:00 AM,2,1,1
01/11/2014 07:00:00 AM,2,1,1
01/11/2014 08:00:00 AM,6,1,5
01/11/2014 09:00:00 AM,15,7,8
01/11/2014 10:00:00 AM,8,2,6
01/11/2014 11:00:00 AM,11,6,5
01/11/2014 12:00:00 PM,5,1,4
01/11/2014 01:00:00 PM,5,0,5
01/11/2014 02:00:00 PM,3,1,2
01/11/2014 03:00:00 PM,3,2,1
01/11/2014 04:00:00 PM,5,1,4
01/11/2014 05:00:00 PM,3,2,1
01/11/2014 06:00:00 PM,4,3,1
01/11/2014 07:00:00 PM,1,0,1
01/11/2014 08:00:00 PM,2,1,1
01/11/2014 09:00:00 PM,2,2,0
01/11/2014 10:00:00 PM,2,2,0
01/11/2014 11:00:00 PM,1,1,0
01/12/2014 12:00:00 AM,0,0,0
01/12/2014 01:00:00 AM,0,0,0
01/12/2014 02:00:00 AM,1,1,0
01/12/2014 03:00:00 AM,0,0,0
01/12/2014 04:00:00 AM,0,0,0
01/12/2014 05:00:00 AM,3,1,2
01/12/2014 06:00:00 AM,3,1,2
01/12/2014 07:00:00 AM,0,0,0
01/12/2014 08:00:00 AM,6,0,6
01/12/2014 09:00:00 AM,4,2,2
01/12/2014 10:00:00 AM,11,6,5
01/12/2014 11:00:00 AM,9,2,7
01/12/2014 12:00:00 PM,11,3,8
01/12/2014 01:00:00 PM,8,5,3
01/12/2014 02:00:00 PM,8,5,3
01/12/2014 03:00:00 PM,14,9,5
01/12/2014 04:00:00 PM,11,5,6
01/12/2014 05:00:00 PM,8,4,4
01/12/2014 06:00:00 PM,5,3,2
01/12/2014 07:00:00 PM,2,1,1
01/12/2014 08:00:00 PM,1,1,0
01/12/2014 09:00:00 PM,0,0,0
