Weekly Seattle WA All Grades All Formulations Retail Gasoline Prices
https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=EMM_EPM0_PTE_Y48SE_DPG&f=W
12:27:00 GMT-0800 (Pacific Standard Time)
Source: U.S. Energy Information Administration
Week of,Weekly Seattle WA All Grades All Formulations Retail Gasoline Prices Dollars per Gallon
02/1/2016,2.266
01/25/2016,2.383
01/18/2016,2.451
01/11/2016,2.509
01/4/2016,2.541
12/28/2015,2.537
12/21/2015,2.501
12/14/2015,2.484
12/7/2015,2.494
11/30/2015,2.515
11/23/2015,2.531
11/16/2015,2.563
11/9/2015,2.553
11/2/2015,2.47
10/26/2015,2.505
10/19/2015,2.552
10/12/2015,2.598
10/5/2015,2.637
09/28/2015,2.688
09/21/2015,2.756
09/14/2015,2.847
09/7/2015,2.939
08/31/2015,3.01
08/24/2015,3.091
08/17/2015,3.131
08/10/2015,3.169
08/3/2015,3.215
07/27/2015,3.225
07/20/2015,3.226
07/13/2015,3.23
07/6/2015,3.229
06/29/2015,3.242
06/22/2015,3.218
06/15/2015,3.141
06/8/2015,3.114
06/1/2015,3.12
05/25/2015,3.126
05/18/2015,3.112
05/11/2015,3.097
05/4/2015,3.039
04/27/2015,2.907
04/20/2015,2.818
04/13/2015,2.805
04/6/2015,2.822
03/30/2015,2.844
03/23/2015,2.906
03/16/2015,2.983
03/9/2015,3.033
03/2/2015,2.913
02/23/2015,2.569
02/16/2015,2.461
02/9/2015,2.363
02/2/2015,2.278
01/26/2015,2.314
01/19/2015,2.409
01/12/2015,2.503
01/5/2015,2.595
12/29/2014,2.697
12/22/2014,2.802
12/15/2014,2.926
12/8/2014,3.046
12/1/2014,3.118
11/24/2014,3.141
11/17/2014,3.147
11/10/2014,3.164
11/3/2014,3.207
10/27/2014,3.297
10/20/2014,3.45
10/13/2014,3.592
10/6/2014,3.701
09/29/2014,3.771
09/22/2014,3.812
09/15/2014,3.886
09/8/2014,3.912
09/1/2014,3.927
08/25/2014,3.937
08/18/2014,3.95
08/11/2014,3.954
08/4/2014,3.97
07/28/2014,3.986
07/21/2014,4.009
07/14/2014,4.039
07/7/2014,4.067
06/30/2014,4.068
06/23/2014,4.05
06/16/2014,4.006
06/9/2014,3.981
06/2/2014,3.98
05/26/2014,3.953
05/19/2014,3.944
05/12/2014,3.945
05/5/2014,3.949
04/28/2014,3.936
04/21/2014,3.903
04/14/2014,3.838
04/7/2014,3.792
03/31/2014,3.757
03/24/2014,3.707
03/17/2014,3.684
03/10/2014,3.61
03/3/2014,3.516
02/24/2014,3.457
02/17/2014,3.427
02/10/2014,3.396
02/3/2014,3.405
01/27/2014,3.414
01/20/2014,3.431
01/13/2014,3.454
01/6/2014,3.478
12/30/2013,3.441
12/23/2013,3.411
12/16/2013,3.402
12/9/2013,3.398
12/2/2013,3.381
11/25/2013,3.355
11/18/2013,3.349
11/11/2013,3.393
11/4/2013,3.459
10/28/2013,3.525
10/21/2013,3.588
10/14/2013,3.652
10/7/2013,3.712
09/30/2013,3.741
