Date,South Lake Union Street Car Ridership (Monthly Avg. Riders per Service Hour)
01/01/2008 12:00:00 AM,28
02/01/2008 12:00:00 AM,30
03/01/2008 12:00:00 AM,30
04/01/2008 12:00:00 AM,31
05/01/2008 12:00:00 AM,36
06/01/2008 12:00:00 AM,43
07/01/2008 12:00:00 AM,53
08/01/2008 12:00:00 AM,47
09/01/2008 12:00:00 AM,43
10/01/2008 12:00:00 AM,36
11/01/2008 12:00:00 AM,32
12/01/2008 12:00:00 AM,38
01/01/2009 12:00:00 AM,33
02/01/2009 12:00:00 AM,35
03/01/2009 12:00:00 AM,34
04/01/2009 12:00:00 AM,37
05/01/2009 12:00:00 AM,40
06/01/2009 12:00:00 AM,45
07/01/2009 12:00:00 AM,53
08/01/2009 12:00:00 AM,48
09/01/2009 12:00:00 AM,43
10/01/2009 12:00:00 AM,38
11/01/2009 12:00:00 AM,36
12/01/2009 12:00:00 AM,41
01/01/2010 12:00:00 AM,35
02/01/2010 12:00:00 AM,37
03/01/2010 12:00:00 AM,39
04/01/2010 12:00:00 AM,41
05/01/2010 12:00:00 AM,43
06/01/2010 12:00:00 AM,49
07/01/2010 12:00:00 AM,59
08/01/2010 12:00:00 AM,57
09/01/2010 12:00:00 AM,54
10/01/2010 12:00:00 AM,48
11/01/2010 12:00:00 AM,46
12/01/2010 12:00:00 AM,50
01/01/2011 12:00:00 AM,47
02/01/2011 12:00:00 AM,48
03/01/2011 12:00:00 AM,55
04/01/2011 12:00:00 AM,58
05/01/2011 12:00:00 AM,64
06/01/2011 12:00:00 AM,75
07/01/2011 12:00:00 AM,77
08/01/2011 12:00:00 AM,78
09/01/2011 12:00:00 AM,64
10/01/2011 12:00:00 AM,60
11/01/2011 12:00:00 AM,57
12/01/2011 12:00:00 AM,61
01/01/2012 12:00:00 AM,54
02/01/2012 12:00:00 AM,60
03/01/2012 12:00:00 AM,61
04/01/2012 12:00:00 AM,62
05/01/2012 12:00:00 AM,64
06/01/2012 12:00:00 AM,67
07/01/2012 12:00:00 AM,74
08/01/2012 12:00:00 AM,74
09/01/2012 12:00:00 AM,68
10/01/2012 12:00:00 AM,64
11/01/2012 12:00:00 AM,60
12/01/2012 12:00:00 AM,58
01/01/2013 12:00:00 AM,61
02/01/2013 12:00:00 AM,61
03/01/2013 12:00:00 AM,63
04/01/2013 12:00:00 AM,62
05/01/2013 12:00:00 AM,66
06/01/2013 12:00:00 AM,68
07/01/2013 12:00:00 AM,77
08/01/2013 12:00:00 AM,71
09/01/2013 12:00:00 AM,63
10/01/2013 12:00:00 AM,61
11/01/2013 12:00:00 AM,57
12/01/2013 12:00:00 AM,56
01/01/2014 12:00:00 AM,53
02/01/2014 12:00:00 AM,58
03/01/2014 12:00:00 AM,55
04/01/2014 12:00:00 AM,57
05/01/2014 12:00:00 AM,58
06/01/2014 12:00:00 AM,61
07/01/2014 12:00:00 AM,72
