"ID","STUDY TITLE","COMPKEY","UNITID/ UNITID2","DIR FLOW","LANE","START DATE","AMPK","PMPK","AWDT","ADT","WEEK DAYS","DAYS"
317664,"3RD  AVE,  SE/O  UNION  ST",4382,"02080
/0130","TOTAL","STANDARD",01/09/08,586,621,8346,8209,5,7
213329,"3RD  AVE,  SE/O  UNION  ST",4382,"02080
/0130","SE","STANDARD",01/09/08,313,342,4502,4329,5,7
213328,"3RD  AVE,  SE/O  UNION  ST",4382,"02080
/0130","NW","STANDARD",01/09/08,283,301,3845,3880,5,7
317666,"3RD  AVE,  SE/O  UNION  ST",4382,"02080
/0130","TOTAL","STANDARD",02/20/08,620,652,8753,8762,5,7
213497,"3RD  AVE,  SE/O  UNION  ST",4382,"02080
/0130","SE","STANDARD",02/20/08,313,334,4352,4272,5,7
213496,"3RD  AVE,  SE/O  UNION  ST",4382,"02080
/0130","NW","STANDARD",02/20/08,312,342,4402,4490,5,7
317668,"3RD  AVE,  SE/O  UNION  ST",4382,"02080
/0130","TOTAL","STANDARD",03/12/08,626,663,8708,8840,5,7
213684,"3RD  AVE,  SE/O  UNION  ST",4382,"02080
/0130","SE","STANDARD",03/12/08,317,335,4464,4360,5,7
213683,"3RD  AVE,  SE/O  UNION  ST",4382,"02080
/0130","NW","STANDARD",03/12/08,310,340,4245,4480,5,7
317670,"3RD  AVE,  SE/O  UNION  ST",4382,"02080
/0130","TOTAL","STANDARD",04/09/08,635,672,9107,9065,5,7
213852,"3RD  AVE,  SE/O  UNION  ST",4382,"02080
/0130","SE","STANDARD",04/09/08,309,351,4628,4477,5,7
213844,"3RD  AVE,  SE/O  UNION  ST",4382,"02080
/0130","NW","STANDARD",04/09/08,332,348,4480,4588,5,7
317672,"3RD  AVE,  SE/O  UNION  ST",4382,"02080
/0130","TOTAL","STANDARD",05/14/08,640,642,8643,8675,5,7
214082,"3RD  AVE,  SE/O  UNION  ST",4382,"02080
/0130","SE","STANDARD",05/14/08,316,337,4468,4311,5,7
214081,"3RD  AVE,  SE/O  UNION  ST",4382,"02080
/0130","NW","STANDARD",05/14/08,326,315,4175,4363,5,7
317674,"3RD  AVE,  SE/O  UNION  ST",4382,"02080
/0130","TOTAL","STANDARD",06/11/08,628,664,8778,8816,5,7
214400,"3RD  AVE,  SE/O  UNION  ST",4382,"02080
/0130","SE","STANDARD",06/11/08,295,329,4236,4127,5,7
214399,"3RD  AVE,  SE/O  UNION  ST",4382,"02080
/0130","NW","STANDARD",06/11/08,341,344,4542,4689,5,7
317676,"3RD  AVE,  SE/O  UNION  ST",4382,"02080
/0130","TOTAL","STANDARD",07/09/08,652,696,9501,9381,5,7
214576,"3RD  AVE,  SE/O  UNION  ST",4382,"02080
/0130","SE","STANDARD",07/09/08,338,375,5088,4904,5,7
214575,"3RD  AVE,  SE/O  UNION  ST",4382,"02080
/0130","NW","STANDARD",07/09/08,329,348,4413,4477,5,7
317678,"3RD  AVE,  SE/O  UNION  ST",4382,"02080
/0130","TOTAL","STANDARD",08/13/08,671,719,9320,9515,5,7
214806,"3RD  AVE,  SE/O  UNION  ST",4382,"02080
/0130","SE","STANDARD",08/13/08,337,375,4956,4883,5,7
214805,"3RD  AVE,  SE/O  UNION  ST",4382,"02080
/0130","NW","STANDARD",08/13/08,339,353,4364,4632,5,7
317680,"3RD  AVE,  SE/O  UNION  ST",4382,"02080
/0130","TOTAL","STANDARD",09/16/08,655,675,9364,9388,5,7
215039,"3RD  AVE,  SE/O  UNION  ST",4382,"02080
/0130","SE","STANDARD",09/16/08,345,353,4950,4792,5,7
215038,"3RD  AVE,  SE/O  UNION  ST",4382,"02080
/0130","NW","STANDARD",09/16/08,332,336,4414,4596,5,7
215217,"3RD  AVE,  SE/O  UNION  ST",4382,"02080
/0130","NW","STANDARD",10/13/08,319,346,4381,4875,5,7
317683,"3RD  AVE,  SE/O  UNION  ST",4382,"02080
/0130","TOTAL","STANDARD",10/23/08,625,667,9045,9303,5,7
215244,"3RD  AVE,  SE/O  UNION  ST",4382,"02080
/0130","SE","STANDARD",10/23/08,315,347,4664,4428,5,7
